docname	wiki	rank
berlin_wall_2.html	German_reunification	20
berlin_wall_4.html	Berlin_Wall	1
berlin_wall_4.html	West_Berlin	2
berlin_wall_4.html	Development_of_the_inner_German_border	3
berlin_wall_4.html	Eastern_Bloc_emigration_and_defection	4
berlin_wall_4.html	Inner_German_border	5
berlin_wall_4.html	Berlin_border_crossings	6
berlin_wall_4.html	Checkpoint_Charlie	7
berlin_wall_4.html	German_reunification	8
berlin_wall_4.html	East_Berlin	9
berlin_wall_4.html	East_Germany	10
berlin_wall_4.html	Rundfunk_der_DDR	11
berlin_wall_4.html	Escape_attempts_and_victims_of_the_inner_German_border	12
berlin_wall_4.html	Fall_of_the_inner_German_border	13
berlin_wall_4.html	Steinstücken	14
berlin_wall_4.html	History_of_Germany_(1945–90)	15
berlin_wall_4.html	Socialist_Unity_Party_of_Germany	16
berlin_wall_4.html	Deutsche_Reichsbahn_(East_Germany)	17
berlin_wall_4.html	Berlin_Crisis_of_1961	18
berlin_wall_4.html	History_of_East_Germany	19
berlin_wall_4.html	Republikflucht	20
berlin_wall_6.html	Berlin_Wall	1
berlin_wall_6.html	Inner_German_border	2
berlin_wall_6.html	Berlin_border_crossings	3
berlin_wall_6.html	West_Berlin	4
berlin_wall_6.html	List_of_deaths_at_the_Berlin_Wall	5
berlin_wall_6.html	Unternehmen_Reisebüro	6
berlin_wall_6.html	Eastern_Bloc_emigration_and_defection	7
berlin_wall_6.html	Checkpoint_Charlie	8
berlin_wall_6.html	Development_of_the_inner_German_border	9
berlin_wall_6.html	Republikflucht	10
berlin_wall_6.html	Escape_attempts_and_victims_of_the_inner_German_border	11
berlin_wall_6.html	Berlin_Friedrichstraße_station	12
berlin_wall_6.html	Killing_of_Peter_Fechter	13
berlin_wall_6.html	Fall_of_the_inner_German_border	14
berlin_wall_6.html	Stationary_Traveller	15
berlin_wall_6.html	Josef_and_Ctirad_Mašín	16
berlin_wall_6.html	History_of_Berlin	17
berlin_wall_6.html	Bernauer_Straße	18
berlin_wall_6.html	Brandenburg_Gate	19
berlin_wall_6.html	Ich_bin_ein_Berliner	20
berlin_wall_10.html	Berlin_Wall	1
berlin_wall_10.html	Berlin_border_crossings	2
berlin_wall_10.html	West_Berlin	3
berlin_wall_10.html	Fall_of_the_inner_German_border	4
berlin_wall_10.html	Checkpoint_Charlie	5
berlin_wall_10.html	Steinstücken	6
berlin_wall_10.html	Inner_German_border	7
berlin_wall_10.html	List_of_deaths_at_the_Berlin_Wall	8
berlin_wall_10.html	Escape_attempts_and_victims_of_the_inner_German_border	9
berlin_wall_10.html	Development_of_the_inner_German_border	10
berlin_wall_10.html	Crossing_the_inner_German_border	11
berlin_wall_10.html	German_reunification	12
berlin_wall_10.html	Schießbefehl	13
berlin_wall_10.html	Eastern_Bloc_emigration_and_defection	14
berlin_wall_10.html	East_Germany	15
berlin_wall_10.html	Staaken	16
berlin_wall_10.html	Republikflucht	17
berlin_wall_10.html	Border_Troops_of_the_German_Democratic_Republic	18
berlin_wall_10.html	Tourism_in_East_Germany	19
berlin_wall_10.html	East_Berlin	20
feminism_3.html	Feminist_movement	1
feminism_3.html	Feminist_theory	2
feminism_3.html	Black_feminism	3
feminism_3.html	Feminism_in_Thailand	4
feminism_3.html	Feminist_blog	5
feminism_3.html	Jennifer_Baumgardner	6
feminism_3.html	Sensible_Sensuality	7
feminism_3.html	Transnational_feminist_network	8
feminism_3.html	Feminism_in_Egypt	9
feminism_3.html	Jo_Freeman	10
feminism_3.html	Socialist_feminism	11
feminism_3.html	Third-wave_feminism	12
feminism_3.html	Women_in_Hungary	13
feminism_3.html	Sarojini_Sahoo	14
feminism_3.html	Index_of_feminism_articles	15
feminism_3.html	Women's_suffrage_in_Japan	16
feminism_3.html	Feminism_in_Poland	17
feminism_3.html	Radical_Women	18
feminism_3.html	List_of_women's_rights_activists	19
feminism_3.html	Barbara_Smith	20
feminism_10.html	Index_of_feminism_articles	1
feminism_10.html	Feminist_movement	2
feminism_10.html	Feminist_theory	3
feminism_10.html	Feminism	4
feminism_10.html	Third-wave_feminism	5
feminism_10.html	Black_feminism	6
feminism_10.html	Feminism_in_Japan	7
feminism_10.html	Women_in_Turkey	8
feminism_10.html	History_of_feminism	9
feminism_10.html	Women's_studies	10
feminism_10.html	List_of_American_feminist_literature	11
feminism_10.html	Feminism_in_Poland	12
feminism_10.html	Jennifer_Baumgardner	13
feminism_10.html	List_of_feminist_literature	14
feminism_10.html	Second-wave_feminism	15
feminism_10.html	Feminist_ethics	16
feminism_10.html	Liberal_feminism	17
feminism_10.html	Jo_Freeman	18
feminism_10.html	Postcolonial_feminism	19
feminism_10.html	Reproductive_justice	20
feminism_2.html	Women_in_Mongolia	1
feminism_2.html	Women_in_Cyprus	2
feminism_2.html	Women's_rights_in_Afghanistan	3
feminism_2.html	Islam_in_Jordan	4
feminism_2.html	Antisemitism_in_21st-century_France	5
feminism_2.html	Algerian_women_in_France	6
feminism_2.html	World_Interuniversity_Games	7
feminism_2.html	History_of_women_in_engineering	8
feminism_2.html	Women_in_Tajikistan	9
feminism_2.html	Gender_roles_in_Afghanistan	10
feminism_2.html	Islam_in_Guyana	11
feminism_2.html	Women's_sports	12
